check,variant,model,cv_pr_auc,test_pr_auc,test_roc_auc,test_brier,mean_score,call_rate,profit_per_list
999 sentinel,Recency band (as built),Logistic scorecard (WoE),0.42327281603651856,0.435513356538699,0.8004355938445585,0.07916723698294872,0.11394257842686639,0.13775364389825664,381195.5796894351
999 sentinel,Recency band (as built),Logistic regression (one-hot),0.4391768834339498,0.44627461371877614,0.7986634166891045,0.07829677119346136,0.11413623513948111,0.14918548156616177,386560.92216823855
999 sentinel,Recency band (as built),Random forest,0.4531504306462121,0.4639603579310138,0.8056281484612762,0.07677889229907547,0.113841406623297,0.15232923692483566,406875.2977041059
999 sentinel,Recency band (as built),LightGBM (tuned),0.45827528467081413,0.4675452141189791,0.8097900658679353,0.07663478312228614,0.1140740706320542,0.14737544060207677,405624.4641326093
999 sentinel,999 kept as a number of days,Logistic scorecard (WoE),0.4220776077755444,0.4317432728698715,0.796469563501361,0.07966049346420839,0.11392832504504509,0.13803943983995426,374141.18319519865
999 sentinel,999 kept as a number of days,Logistic regression (one-hot),0.4382710952133116,0.4466245293346698,0.7989035421879019,0.07827646727150561,0.11425745627478966,0.14928074688006096,387514.52796036965
999 sentinel,999 kept as a number of days,Random forest,0.4547235720272642,0.4650605182675306,0.8059613476228941,0.07675409414515844,0.11382229452561271,0.15318662474992856,408021.33943031344
999 sentinel,999 kept as a number of days,LightGBM (tuned),0.4577642129543634,0.46878821620137845,0.8100619137838407,0.07663298902559855,0.1140907996811783,0.14680384871868152,407339.2397827951
999 sentinel,Days if contacted + contacted flag,Logistic scorecard (WoE),0.4231686853935098,0.43476203834024096,0.8001996555227681,0.07919434535900376,0.11396692255680645,0.13822997046775268,383484.80518243305
999 sentinel,Days if contacted + contacted flag,Logistic regression (one-hot),0.4379483705154418,0.4468783596852429,0.7988561178570174,0.07826382293597368,0.11425431873224162,0.14937601219396018,387228.73201867205
999 sentinel,Days if contacted + contacted flag,Random forest,0.45280261391251,0.46416787868942394,0.8057209490473353,0.07679530438978856,0.1137577300598507,0.15232923692483566,405635.8959702772
999 sentinel,Days if contacted + contacted flag,LightGBM (tuned),0.45798405558871674,0.4693606350733434,0.8101071990134282,0.07661104842684253,0.11406678395660483,0.14689911403258074,409532.2473087549
class balance,No resampling (as built),LightGBM (tuned),,0.4675452141189791,0.8097900658679353,0.07663478312228614,0.1140740706320542,0.14737544060207677,405624.4641326093
class balance,Takers oversampled to 50/50,LightGBM (tuned),,0.4621488355065943,0.809448719916271,0.1604499684863391,0.3908127796397021,0.9711346098885396,-1459585.5958845385
